begin,open,close,high,low,value,volume,end,return,volatility,volume_zscore
2026-06-28 16:30:00,2285.2,2284.6,2285.35,2284.6,0,566,2026-06-28 16:39:59,-0.00026255907579197935,0.00041503226767390915,1.2431826355207918
2026-06-28 16:40:00,2284.7,2285.35,2285.35,2283.6,0,824,2026-06-28 16:49:59,0.00032828503895654393,0.000417234957443066,1.9691863324531866
2026-06-28 16:50:00,2284.65,2283.75,2285.0,2283.75,0,44,2026-06-28 16:59:59,-0.0007001115802830471,0.00042564129188599886,-0.5151742641270612
2026-06-28 17:00:00,2283.65,2284.55,2284.55,2283.3,0,351,2026-06-28 17:09:59,0.00035030103995636885,0.000429205776718676,0.44167361574358655
2026-06-28 17:10:00,2284.5,2284.65,2284.8,2283.75,0,34,2026-06-28 17:19:59,4.3772296513422404e-05,0.0004257926377980312,-0.5680062948181864
2026-06-28 17:20:00,2284.5,2285.2,2285.2,2284.4,0,92,2026-06-28 17:29:59,0.00024073709320893144,0.00042550639109520123,-0.381436626612344
2026-06-28 17:30:00,2285.1,2284.5,2285.25,2284.05,0,172,2026-06-28 17:39:59,-0.00030631892175736475,0.0004266864093673769,-0.13689754016294556
2026-06-28 17:40:00,2284.8,2285.35,2285.35,2284.7,0,101,2026-06-28 17:49:59,0.00037207266360250735,0.0004298678180358016,-0.3712170897183243
2026-06-28 17:50:00,2285.25,2285.25,2285.25,2284.85,0,71,2026-06-28 17:59:59,-4.3756973767683505e-05,0.00042915094877633294,-0.46409274267427664
2026-06-28 18:00:00,2284.95,2284.75,2285.3,2284.3,0,288,2026-06-28 18:09:59,-0.00021879444262118408,0.0004209712331617715,0.22818015815864345
2026-06-28 18:10:00,2284.2,2285.0,2285.35,2284.2,0,120,2026-06-28 18:19:59,0.00010942116205270302,0.0004116593822110441,-0.318711503344323
2026-06-28 18:20:00,2284.8,2284.05,2285.0,2283.3,0,184,2026-06-28 18:29:59,-0.00041575492341350273,0.00030523822848377063,-0.014665716360568685
2026-06-28 18:30:00,2283.8,2285.35,2285.35,2283.8,0,179,2026-06-28 18:39:59,0.0005691644228451587,0.000308059920721242,-0.010288140990608598
2026-06-28 18:40:00,2285.25,2285.0,2285.25,2284.55,0,106,2026-06-28 18:49:59,-0.00015314940818689227,0.0002975070915501216,-0.3258450441633409
2026-06-28 18:50:00,2284.55,2285.8,2286.45,2284.5,0,403,2026-06-28 18:59:59,0.00035010940919044664,0.0003024462487055017,1.0926712777462375
2026-06-29 08:50:00,2284.3,2284.3,2284.3,2284.3,0,100,2026-06-29 08:59:59,-0.00065622539154786,0.00030998362197148674,-0.35391611028713615
2026-06-29 09:00:00,2284.5,2268.05,2284.5,2266.85,0,13214,2026-06-29 09:09:59,-0.007113776649301795,0.0010481257950575168,6.897967344673332
2026-06-29 09:10:00,2268.2,2260.65,2269.5,2260.2,0,7942,2026-06-29 09:19:59,-0.0032627146667842943,0.0011344990687262822,3.445927614099821
2026-06-29 09:20:00,2260.85,2259.9,2262.95,2254.05,0,10358,2026-06-29 09:29:59,-0.0003317629885210005,0.0011335600436007199,3.7642260356397514
2026-06-29 09:30:00,2259.75,2262.8,2263.8,2254.8,0,7526,2026-06-29 09:39:59,0.0012832426213549297,0.0011541240783607153,2.430929256557689
2026-06-29 09:40:00,2263.55,2264.65,2266.5,2260.4,0,4822,2026-06-29 09:49:59,0.0008175711507865113,0.0011600433592423968,1.3740729896544936
2026-06-29 09:50:00,2264.65,2261.0,2265.85,2257.5,0,4090,2026-06-29 09:59:59,-0.0016117280816020374,0.0011754054315657528,1.0692631640295405
2026-06-29 10:00:00,2261.65,2259.65,2264.0,2258.0,0,8018,2026-06-29 10:09:59,-0.0005970809376382169,0.0011746250227301267,2.283987415793174
2026-06-29 10:10:00,2259.45,2257.6,2264.0,2256.0,0,9092,2026-06-29 10:19:59,-0.0009072201447127837,0.0011775573353972279,2.426162520471094
